Country Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Afghanistan, Islamic Rep. of",101.9704994,101.2957512,105.7364475,110.9978419,111.6928539,114.2644395,,,,
Albania,90.71563319,92.43575946,93.61471442,95.47452176,97.41080199,98.78535685,100.3865555,102.4359185,109.3249417,114.5285512
Algeria,164.77,172.6533333,183.6991667,193.97,202.2525,206.2,211.18,226.44,247.4208333,270.4858333
Angola,28.44512219,31.10643991,40.65437969,52.78746786,63.14908718,73.93555381,90.40213969,113.6845733,137.9622438,156.7859528
Anguilla,107.17,106.1275,105.573687,106.94,107.3425,108.2175,107.705,109.64,115.73,119.6725
Antigua and Barbuda,95.63457871,96.56127153,96.08866417,98.42600929,99.61416667,101.04,101.6725,103.77,111.585,117.2391667
Argentina,,,,112.8871083,151.581675,232.7510917,330.5416833,490.5548583,845.8674583,1975.006925
"Armenia, Rep. of",119.7621887,124.2313438,122.4876232,123.675206,126.7921104,128.6222868,130.1804632,139.5337164,151.5907007,154.5928314
"Aruba, Kingdom of the Netherlands",93.28708333,93.72997645,92.85716667,91.90233333,95.23475,99.28933333,,,,
Australia,106.075,107.675,109.05,111.175,113.3,115.125,116.1,119.425,127.3,134.425
Austria,91.65805333,92.47982583,93.30436833,95.24628333,97.14966583,98.63692583,100,102.7666667,111.55,120.2666667
"Azerbaijan, Rep. of",113.175,117.7333333,132.3833333,149.5083333,152.9,156.8915643,161.2214726,171.9431828,195.7611978,212.9596618
"Bahamas, The",100.1441667,102.0083333,101.655,103.1983333,105.5366667,108.1658333,108.2075,111.3508333,117.5925,121.1825
"Bahrain, Kingdom of",91.27809075,92.96548257,95.55623857,96.88133442,98.90389638,99.8986916,97.58333333,96.99166667,100.5083333,100.5833333
Bangladesh,65.47247106,69.52801939,73.36146463,77.54458681,81.84336511,86.42004314,91.33827239,96.40357723,103.8237166,114.0851368
Barbados,78.40390849,77.5314377,78.52533501,82.18476061,85.20407594,88.69768984,,,102.9574958,113.0391667
"Belarus, Rep. of",46.80692309,53.1420013,59.43219721,63.01705062,66.08743177,69.78710926,73.65899828,80.62734863,92.89050654,97.53558831
