Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Afghanistan, Islamic Rep. of",4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,,,,
Albania,1.625865044,1.896174026,1.275431684,1.986661332,2.028059631,1.41109079,1.620886617,2.041471631,6.725202715,4.759764219
Algeria,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,2.415130941,7.226063074,9.265515516,9.322173759
Angola,7.280387304,9.355972155,30.69441508,29.8444799,19.62893797,17.08095414,22.27153925,25.75429488,21.35529013,13.64410178
Anguilla,-0.253624031,-0.972753569,-0.521837413,1.294179486,0.376379278,0.815147775,-0.473583293,1.796573975,5.554542138,3.406636136
Antigua and Barbuda,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,1.431355982,0.625989707,2.062996385,7.531078346,5.067138654
Argentina,,,,,34.27722371,53.54830435,42.01509474,48.40937863,72.43075753,133.4889356
"Armenia, Rep. of",2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608,1.211435778,7.184836294,8.64091109,1.980418776
"Aruba, Kingdom of the Netherlands",0.421440919,0.474763597,-0.931195987,-1.028281788,3.626041414,4.257462043,,,,
Australia,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873,0.846905537,2.863910422,6.594096713,5.597014925
Austria,1.60581183,0.896563335,0.891591753,2.081269114,1.998379814,1.530895642,1.381910634,2.766666667,8.546869932,7.81413417
"Azerbaijan, Rep. of",1.373441815,4.027685737,12.44337486,12.93591842,2.268546904,2.610571828,2.75980947,6.650299127,13.85225901,8.785430498
"Bahamas, The",1.513756431,1.861483029,-0.34637693,1.518207007,2.265863467,2.491235274,0.038521098,2.904912629,5.605406336,3.05291579
"Bahrain, Kingdom of",2.647553212,1.848627424,2.786793476,1.386718306,2.08766938,1.005820047,-2.317706293,-0.606319385,3.625741043,0.074620678
Bangladesh,6.991638892,6.19428023,5.513525727,5.702070157,5.543621395,5.591996399,5.691074747,5.545654308,7.696954372,9.883503038
Barbados,1.769503221,-1.112789925,1.281928131,4.66018464,3.673814104,4.100289645,,,,9.792070771
"Belarus, Rep. of",18.11955435,13.53448976,11.83658077,6.031837252,4.872302206,5.59815595,5.548143575,9.460283896,15.20967527,5.000599031
Belgium,0.340002833,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957,0.740791812,2.440248511,9.597511729,4.049010776
Belize,1.201399645,-0.861584009,0.663427168,1.147653393,0.269982623,0.187069385,0.121434645,3.235636592,6.276893194,4.389840175
Benin,-0.548757551,0.218785924,-0.793310146,0.043264856,0.919170718,0.732849371,3.022721197,1.733539627,1.350778636,2.731024653
Bhutan,8.271060939,4.548143951,3.219886894,4.95508367,2.723963862,2.726430374,5.629365226,7.346814405,5.639166714,4.229344199
Bolivia,5.766600746,4.059610411,3.623214318,2.822758055,2.272059872,1.83954505,0.940742153,0.737383721,1.746328729,2.576888005
